Pot Combo Street Opp_actions, F C R
16 0 3 1,-180 116 -326
16 1 1 0,-130 -194 -217
16 1 1 1,-188 -224 -249
16 1 2 0,-92 -232 -357
16 1 2 1,-186 -245 -341
16 1 3 0,-97 -155 -282
16 1 3 1,-169 -194 -305
16 2 1 0,-130 371 -342
16 2 1 1,-190 40 -154
16 2 2 0,-123 -209 -290
16 2 2 1,-144 -97 -93
16 2 3 0,-175 11 -143
16 2 3 1,-155 -52 -370
16 3 1 0,-130 415 -23
16 3 1 1,-189 -289 -252
16 3 2 0,-179 -245 338
16 3 2 1,-177 8 349
16 3 3 0,-163 243 -78
16 3 3 1,-186 161 -21
16 4 1 0,-130 85 522
16 4 1 1,-181 232 -200
16 4 2 0,-146 38 470
16 4 2 1,-184 -190 306
16 4 3 0,-153 184 86
16 4 3 1,-188 351 -13
16 5 1 0,-122 601 318
16 5 1 1,-142 729 -100
16 5 2 0,-159 428 -44
16 5 2 1,-160 394 746
16 5 3 0,-180 137 255
16 5 3 1,-164 -26 384
16 6 1 0,-78 178 283
16 6 1 1,-175 399 230
16 6 2 0,-119 500 198
16 6 2 1,-181 264 239
16 6 3 0,-150 197 -81
16 6 3 1,-126 164 -64
16 7 1 0,-109 153 459
16 7 1 1,-185 461 29
16 7 2 0,-118 132 78
16 7 2 1,-156 377 265
16 7 3 0,-138 153 453
16 7 3 1,-179 327 -53
16 8 1 1,-78 239 85
16 8 2 0,-131 341 582
16 8 2 1,-140 501 138
16 8 3 0,-123 195 -69
16 8 3 1,-150 188 258
16 9 1 1,-114 346 0
16 9 2 0,0 421 306
16 9 2 1,0 161 -44
16 9 3 0,-124 60 321
16 9 3 1,0 119 0
16 10 2 1,0 0 -162
16 10 3 0,0 0 236
16 10 3 1,0 0 186
18 0 1 0,-130 -182 -180
18 0 1 1,-137 -299 -330
18 1 1 0,-130 -51 -254
18 1 1 1,-188 -321 174
18 2 1 0,-130 -179 -73
18 2 1 1,-131 57 115
18 3 1 0,-130 302 -169
18 3 1 1,-134 56 325
18 4 1 0,-130 582 146
18 4 1 1,-137 452 -59
18 5 1 0,-130 268 13
18 5 1 1,-175 492 216
18 6 1 0,0 612 324
18 6 1 1,-159 139 241
18 7 1 0,-109 30 632
18 7 1 1,-170 480 129
18 8 1 0,-78 367 0
18 8 1 1,-114 306 393
18 9 1 1,0 367 0
20 0 2 0,-172 -113 -11
20 0 2 1,-215 -185 -206
20 0 3 0,-158 -220 -410
20 0 3 1,-162 -290 -518
20 1 2 0,-205 -240 -420
20 1 2 1,-152 -246 -438
20 1 3 0,-160 -193 -254
20 1 3 1,-143 -214 -250
20 2 2 0,-161 -279 -354
20 2 2 1,-209 17 293
20 2 3 0,-172 -157 149
20 2 3 1,-204 -181 79
20 3 2 0,-203 285 -158
20 3 2 1,-200 268 208
20 3 3 0,-167 -138 -309
20 3 3 1,-140 301 -165
20 4 2 0,-209 425 256
20 4 2 1,-166 348 312
20 4 3 0,-169 209 -163
20 4 3 1,-196 67 -243
20 5 2 0,-158 235 722
20 5 2 1,-162 356 554
20 5 3 0,-190 264 279
20 5 3 1,-228 157 247
20 6 2 0,-152 420 129
20 6 2 1,-159 56 431
20 6 3 0,-168 174 -71
20 6 3 1,-160 432 156
20 7 2 0,-159 391 692
20 7 2 1,-210 318 438
20 7 3 0,-228 17 419
20 7 3 1,-217 138 332
20 8 2 0,-114 71 454
20 8 2 1,-196 365 436
20 8 3 0,-190 217 635
20 8 3 1,-154 208 338
20 9 2 0,0 162 549
20 9 2 1,0 354 407
20 9 3 0,-102 230 287
20 9 3 1,-138 0 362
20 10 2 0,0 0 204
20 10 3 0,0 0 198
20 10 3 1,0 0 246
22 0 1 0,-170 -238 -322
22 0 1 1,-193 -326 -307
22 1 1 0,-170 -252 -250
22 1 1 1,-222 -252 -196
22 2 1 0,-170 -85 -222
22 2 1 1,-180 -196 210
22 3 1 0,-170 127 -267
22 3 1 1,-188 495 190
22 4 1 0,-170 636 98
22 4 1 1,-229 602 7
22 5 1 0,-159 608 0
22 5 1 1,-227 157 -41
22 6 1 0,-102 0 186
22 6 1 1,-210 647 20
22 7 1 0,0 404 0
22 7 1 1,-192 551 -42
22 8 1 1,-102 -116 -104
24 0 2 0,-173 -468 58
24 0 2 1,-204 -326 -473
24 0 3 0,-221 -331 -320
24 0 3 1,-220 -315 -420
24 1 2 0,-171 -216 -389
24 1 2 1,-232 -422 70
24 1 3 0,-192 -286 -533
24 1 3 1,-255 85 -351
24 2 2 0,-222 -274 -251
24 2 2 1,-244 -7 149
24 2 3 0,-194 -275 -273
24 2 3 1,-244 -199 -55
24 3 2 0,-213 396 -204
24 3 2 1,-201 -94 482
24 3 3 0,-225 -43 360
24 3 3 1,-185 -213 498
24 4 2 0,-207 69 -48
24 4 2 1,-259 588 363
24 4 3 0,-222 348 -63
24 4 3 1,-258 265 247
24 5 2 0,-222 613 103
24 5 2 1,-228 -21 546
24 5 3 0,-188 284 14
24 5 3 1,-187 -55 524
24 6 2 0,-211 8 370
24 6 2 1,-201 478 -138
24 6 3 0,-255 -166 361
24 6 3 1,-258 346 105
24 7 2 0,-170 543 370
24 7 2 1,-254 144 536
24 7 3 0,-210 269 620
24 7 3 1,-199 -46 172
24 8 2 0,0 545 258
24 8 2 1,-218 429 9
24 8 3 0,-190 479 301
24 8 3 1,-171 195 282
24 9 2 0,-138 -186 0
24 9 2 1,0 362 0
24 9 3 0,0 230 194
24 9 3 1,0 276 425
26 0 1 1,-269 -343 -263
26 1 1 1,-234 355 307
26 2 1 1,-231 -359 303
26 3 1 1,-266 436 -57
26 4 1 1,-216 45 184
26 5 1 1,-218 54 419
26 6 1 1,-247 -18 542
26 7 1 1,0 520 109
26 8 1 1,0 359 0
28 0 2 0,-235 -408 -506
28 0 2 1,-240 -363 -380
28 0 3 0,-293 -265 -491
28 0 3 1,-252 -278 -397
28 1 2 0,-210 -191 -466
28 1 2 1,-257 134 -338
28 1 3 0,-256 -260 -295
28 1 3 1,-257 -245 -290
28 2 2 0,-220 -247 -369
28 2 2 1,-272 -282 -108
28 2 3 0,-291 -326 -389
28 2 3 1,-296 -279 -92
28 3 2 0,-215 398 -149
28 3 2 1,-276 240 398
28 3 3 0,-282 -251 -46
28 3 3 1,-238 -58 139
28 4 2 0,-234 31 98
28 4 2 1,-274 597 395
28 4 3 0,-259 319 211
28 4 3 1,-306 -70 528
28 5 2 0,-176 125 411
28 5 2 1,-295 18 613
28 5 3 0,-293 111 254
28 5 3 1,-278 349 230
28 6 2 0,-126 581 87
28 6 2 1,-257 -85 -44
28 6 3 0,-293 168 299
28 6 3 1,-272 307 356
28 7 2 0,-229 563 -200
28 7 2 1,-271 487 75
28 7 3 0,-285 365 529
28 7 3 1,-262 272 413
28 8 2 0,0 165 663
28 8 2 1,-191 125 341
28 8 3 0,-276 272 536
28 8 3 1,-259 274 585
28 9 2 0,0 290 0
28 9 2 1,0 0 537
28 9 3 0,-186 290 0
28 9 3 1,-186 285 0
28 10 2 1,-162 -282 0
28 10 3 0,0 0 174
28 10 3 1,0 210 0
30 0 1 1,-293 -343 0
30 1 1 1,-267 -318 0
30 2 1 1,-253 -24 0
30 3 1 1,-291 282 0
30 4 1 1,-295 389 0
30 5 1 1,-186 111 0
30 6 1 1,-260 184 0
30 7 1 1,-186 210 0
30 8 1 1,-186 0 0
32 0 2 0,-252 -451 -381
32 0 2 1,-287 30 -466
32 0 3 0,-291 -352 -484
32 0 3 1,-274 -349 -387
32 1 2 0,-276 -327 152
32 1 2 1,-287 181 137
32 1 3 0,-305 -358 -187
32 1 3 1,-276 -372 -459
32 2 2 0,-263 -135 113
32 2 2 1,-312 62 521
32 2 3 0,-349 146 -108
32 2 3 1,-344 -313 -320
32 3 2 0,-254 458 71
32 3 2 1,-304 433 413
32 3 3 0,-307 213 -266
32 3 3 1,-319 175 -498
32 4 2 0,-250 677 21
32 4 2 1,-270 653 242
32 4 3 0,-309 105 220
32 4 3 1,-322 -233 448
32 5 2 0,-249 452 282
32 5 2 1,-309 491 748
32 5 3 0,-288 352 636
32 5 3 1,-345 -49 276
32 6 2 0,-244 454 295
32 6 2 1,-263 566 441
32 6 3 0,-307 350 -317
32 6 3 1,-258 388 -81
32 7 2 0,-234 -157 736
32 7 2 1,-328 544 6
32 7 3 0,-284 323 632
32 7 3 1,-288 307 460
32 8 2 0,0 0 393
32 8 2 1,-290 509 522
32 8 3 0,-276 373 673
32 8 3 1,-330 -21 598
32 9 2 1,0 0 360
32 9 3 0,0 400 222
32 9 3 1,-150 345 246
32 10 2 1,0 0 -282
32 10 3 0,0 204 0
32 10 3 1,0 277 0
36 0 2 0,-290 -405 -579
36 0 2 1,-296 -491 -544
36 0 3 0,-328 -406 -636
36 0 3 1,-319 -350 -419
36 1 2 0,-290 -532 155
36 1 2 1,-332 -8 -251
36 1 3 0,-345 -355 44
36 1 3 1,-371 -403 224
36 2 2 0,-290 -330 415
36 2 2 1,-344 163 -437
36 2 3 0,-357 252 163
36 2 3 1,-324 -382 176
36 3 2 0,-290 96 480
36 3 2 1,-350 530 -87
36 3 3 0,-364 405 54
36 3 3 1,-334 221 491
36 4 2 0,-290 300 -218
36 4 2 1,-332 291 456
36 4 3 0,-343 336 435
36 4 3 1,-360 -81 445
36 5 2 0,-287 472 636
36 5 2 1,-335 552 527
36 5 3 0,-350 378 236
36 5 3 1,-299 -331 484
36 6 2 0,-174 0 0
36 6 2 1,-330 454 355
36 6 3 0,-339 408 -64
36 6 3 1,-356 368 479
36 7 2 0,0 644 -116
36 7 2 1,-342 678 -140
36 7 3 0,-320 433 815
36 7 3 1,-354 459 420
36 8 2 0,0 258 0
36 8 2 1,-174 311 -184
36 8 3 0,-277 381 378
36 8 3 1,-361 219 484
36 9 2 0,0 420 0
36 9 2 1,0 222 0
36 9 3 0,-294 381 258
36 9 3 1,0 348 311
40 0 2 0,-330 365 -389
40 0 2 1,-354 -543 -494
40 0 3 0,-371 -434 -479
40 0 3 1,-381 -417 -497
40 1 2 0,-330 -399 -340
40 1 2 1,-339 -478 -399
40 1 3 0,-343 -440 -444
40 1 3 1,-393 -404 -487
40 2 2 0,-330 -414 302
40 2 2 1,-375 285 363
40 2 3 0,-386 -121 47
40 2 3 1,-379 -88 -277
40 3 2 0,-330 54 307
40 3 2 1,-335 508 8
40 3 3 0,-404 455 -73
40 3 3 1,-421 448 -111
40 4 2 0,-330 -235 518
40 4 2 1,-390 312 -282
40 4 3 0,-366 -89 465
40 4 3 1,-400 444 -352
40 5 2 0,-327 711 0
40 5 2 1,-383 82 20
40 5 3 0,-336 -97 725
40 5 3 1,-402 431 -43
40 6 2 0,-277 -87 282
40 6 2 1,-336 411 40
40 6 3 0,-380 -53 646
40 6 3 1,-424 451 408
40 7 2 0,-198 786 0
40 7 2 1,-369 529 -7
40 7 3 0,-337 468 296
40 7 3 1,-428 -61 462
40 8 2 0,-198 0 0
40 8 2 1,-234 426 -300
40 8 3 0,-198 457 530
40 8 3 1,-401 382 526
40 9 3 0,0 258 0
40 9 3 1,0 335 0
44 0 2 0,-370 -519 0
44 0 2 1,-430 -439 -292
44 0 3 0,-380 -461 -598
44 0 3 1,-371 69 -461
44 1 2 0,-370 -569 0
44 1 2 1,-412 -496 499
44 1 3 0,-404 -181 -232
44 1 3 1,-430 292 -532
44 2 2 0,-370 -9 0
44 2 2 1,-415 -334 447
44 2 3 0,-404 121 -495
44 2 3 1,-439 441 -486
44 3 2 0,-370 703 0
44 3 2 1,-391 -51 730
44 3 3 0,-385 -353 -390
44 3 3 1,-424 407 -363
44 4 2 0,-361 575 0
44 4 2 1,-430 644 -99
44 4 3 0,-421 494 661
44 4 3 1,-458 370 514
44 5 2 0,0 679 0
44 5 2 1,-416 646 558
44 5 3 0,-425 466 737
44 5 3 1,-431 439 572
44 6 2 0,-311 497 0
44 6 2 1,-409 697 428
44 6 3 0,-448 508 -125
44 6 3 1,-437 -344 112
44 7 2 0,-346 -147 0
44 7 2 1,-423 706 506
44 7 3 0,-398 469 -8
44 7 3 1,-443 488 635
44 8 2 1,-258 0 -209
44 8 3 0,-258 504 -278
44 8 3 1,-458 453 534
44 9 2 1,0 422 0
44 9 3 0,-222 0 0
44 9 3 1,0 497 294
44 10 3 0,0 282 0
48 0 2 0,-246 -209 0
48 0 2 1,-419 -667 -731
48 0 3 0,-413 138 -550
48 0 3 1,-456 -490 -180
48 1 2 0,-344 -517 0
48 1 2 1,-430 -613 554
48 1 3 0,-410 -255 -544
48 1 3 1,-457 -498 -540
48 2 2 0,-344 -598 0
48 2 2 1,-417 214 -398
48 2 3 0,-441 377 566
48 2 3 1,-479 -374 101
48 3 2 0,-246 808 0
48 3 2 1,-453 546 519
48 3 3 0,-446 395 -117
48 3 3 1,-481 150 -88
48 4 2 0,0 330 0
48 4 2 1,-419 600 0
48 4 3 0,-427 523 -404
48 4 3 1,-471 500 104
48 5 2 1,-463 -279 0
48 5 3 0,-423 546 353
48 5 3 1,-467 259 653
48 6 2 0,-246 0 0
48 6 2 1,-423 666 0
48 6 3 0,-450 498 -280
48 6 3 1,-434 641 -106
48 7 2 0,0 528 0
48 7 2 1,-426 623 330
48 7 3 0,-412 512 698
48 7 3 1,-480 467 778
48 8 3 0,-246 462 0
48 8 3 1,-487 495 -354
48 9 3 1,0 472 0
48 10 2 1,-282 0 0
52 0 2 0,-270 -412 0
52 0 2 1,-473 -698 0
52 0 3 0,-486 -480 -512
52 0 3 1,-487 -543 -583
52 1 2 0,-270 0 0
52 1 2 1,-508 -401 0
52 1 3 0,-464 -247 -610
52 1 3 1,-472 -571 277
52 2 2 0,-270 354 0
52 2 2 1,-503 -225 0
52 2 3 0,-451 419 -579
52 2 3 1,-512 -563 161
52 3 2 0,0 354 0
52 3 2 1,-501 485 0
52 3 3 0,-485 453 -412
52 3 3 1,-520 453 -42
52 4 2 1,-471 445 0
52 4 3 0,-454 -395 -228
52 4 3 1,-545 216 455
52 5 2 1,-306 740 0
52 5 3 0,-464 579 -272
52 5 3 1,-517 422 582
52 6 2 1,-414 95 0
52 6 3 0,-475 576 515
52 6 3 1,-500 520 387
52 7 2 1,-414 -299 0
52 7 3 0,-466 536 354
52 7 3 1,-471 583 -146
52 8 2 1,-306 0 0
52 8 3 0,0 330 0
52 8 3 1,-392 515 366
52 9 3 1,-270 0 0
56 0 2 1,-548 -529 0
56 0 3 0,-436 -509 -565
56 0 3 1,-580 -603 -672
56 1 2 1,-549 -135 0
56 1 3 0,-494 -520 -546
56 1 3 1,-552 -624 568
56 2 2 1,-511 -6 0
56 2 3 0,-524 -533 314
56 2 3 1,-584 199 -501
56 3 2 1,-510 460 0
56 3 3 0,-501 -70 714
56 3 3 1,-536 574 625
56 4 2 1,-426 378 0
56 4 3 0,-499 -381 751
56 4 3 1,-570 -144 504
56 5 2 1,-330 0 0
56 5 3 0,-459 630 515
56 5 3 1,-493 576 555
56 6 2 1,-294 403 0
56 6 3 0,-412 630 0
56 6 3 1,-551 456 311
56 7 3 0,-477 515 378
56 7 3 1,-548 565 -45
56 8 2 1,-300 0 0
56 8 3 1,-456 570 0
60 0 3 0,0 -366 402
60 0 3 1,-612 -629 -647
60 1 3 0,-516 402 0
60 1 3 1,-600 -615 328
60 2 3 0,-530 -169 637
60 2 3 1,-584 -634 291
60 3 3 0,-530 -99 0
60 3 3 1,-615 -471 297
60 4 3 0,-445 627 0
60 4 3 1,-553 625 695
60 5 3 0,-528 563 630
60 5 3 1,-591 -153 -120
60 6 3 0,-318 320 0
60 6 3 1,-583 611 708
60 7 3 0,-318 -205 0
60 7 3 1,-539 610 643
60 8 3 1,-460 -220 0
64 0 3 0,-342 0 0
64 0 3 1,-628 -649 -575
64 1 3 1,-624 -321 -514
64 2 3 0,-569 -132 0
64 2 3 1,-594 -141 711
64 3 3 0,-479 534 0
64 3 3 1,-594 -127 703
64 4 3 0,0 426 0
